,Title,Citation,DOI,Year,FINDINGS,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
148,LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,Journal of Autoimmunity 24 (2005) 69-78,10.3892/ijo.2012.1343,2013,Mirrored microscopy image,"Department of Cytokinetics, Institute of Biophysics, Academy of Sciences of the Czech Republic, v.v.i., Královopolská 135, CZ-612 65 Brno, Czech Republic.",19,,Biology,21.375,23,12
149,Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.3892/ijo.2012.1617,2000,Multiple cases of overlapping microscopy panels,"Andrology Department of Integrative Medicine, Zhongda Hospital, School of Medicine, Southeast University.",3,,Biology,1.5,3,16
150,Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Cytokine 36 (2006) 245Ä253,10.1155/2013/308130,2014,"Duplicated FACS panel, gated differently","Andrology Department of Integrative Medicine, Zhongda Hospital, School of Medicine, Southeast University.",23,,Economics,4.814814814814816,12,17
151,HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",10.1016/j.cyto.2010.09.007,2006,"Duplicated blot, lanes within blot","Institute of Neurological Sciences and Psychiatry, Hacettepe University, Ankara, Turkey.",13,,,2.272727272727273,20,18
152,"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale","Breast Cancer Research 2012, 14:R86",10.1016/j.ccr.2012.10.003,2003,Duplicated blot strips,"a Ovarian Cancer Research Center ; Department of Obstetrics and Gynecology ; Perelman School of Medicine; University of Pennsylvania ; Philadelphia , PA USA.",5,PhD,Biology,3.25,26,12
153,Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,Cytokine 62 (2013) 407Ä412,10.1155/2013/938081,2012,Overlapping microscopy images,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",7,,,21.66666666666667,300,5
154,TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Cytokine 46 (2009) 96Ä99,10.1126/science.1176709,2007,"Overlapping microscopy, mirrored blot panels, multiple cases","Department of Microbiology, Oregon State University, Corvallis, OR 97331, USA.",13,,,30.0,3,7
155,Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Cytokine 36 (2006) 218Ä228,10.1128/JCM.00001-09,2013,"overlapping microscopy images,but rotated/stretched","Department of Veterinary Medicine, School of Veterinary Medicine, National Taiwan University, Taipei, Taiwan, R.O.C.",19,MD,Physics,60.0,2,7
156,The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,Cytokine 36 (2006) 218Ä228,10.1111/j.1365-2672.2010.04795.x,2013,two sets of duplicated facs panels but different percentages gated points,"Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology, Anhui Medical University, Hefei, China",6,PhD,,2.6666666666666665,7,11
157,Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,Cytokine 60 (2012) 360Ä368,10.1002/ijc.27989,2013,Multiple cases of reused blot panels,"The Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Affiliated to Sackler Faculty of Medicine, Tel-Aviv University, Israel.",9,Doctor of Philosophy,Biology,0.75,11,4
158,Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,"Infect. Immun. Feb. 2006, p. 1148Ä1155 Vol. 74, No. 2",10.1371/journal.pone.0098448,2013,Duplicated lane within blot,"Department of Genetic Engineering, College of Natural Science and Engineering, Cheongju University, Chungbuk 360-764, Republic of Korea. parkks@cju.ac.kr",11,PhD,,1.7407407407407407,78,5
159,Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,J. Cell Biol. Vol. 199 No. 3 481Ä496,10.1128/JCM.00001-09,2013,"overlapping microscopy images,but rotated/stretched","Institue of Biomedical Engineering, West China School of Preclinical and Forensic Medicine, Sichuan University, China.",0,,,1.25,300,3
160,Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,"Infect. Immun. 2012, 80(8):2920",10.1038/nature07091,2014,Mirrored blot,"Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore",17,,,3.6,30,14
161,"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","Genome Biology 2013, 14:R121",10.1016/j.ccr.2013.02.018,2011,Duplicated blot panel,"Department of Minimally Invasive Surgery, The First Affiliated Hospital of Nanjing Medical University, Nanjing 210029, P.R. China.",3,,,50.6,130,10
162,Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__,Journal of Autoimmunity 28 (2007) 99-113,10.1128/IAI.05798-11,2008,"Duplicated FACS panels, but different gating numbers",None,9,,,42.857142857142854,4,22
163,Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,"Oncogene (2015) 34, 826Ä837",10.1016/j.cyto.2008.12.021,2013,"Duplicated microscopy, possible duplicated lanes in same blot","Department of Microbiology, Oregon State University, Corvallis, OR 97331, USA.",7,,Medicine,1.2222222222222223,42,6
164,Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"Int. J. Cancer: 132, 90Ä100 (2013)",10.1371/journal.pone.0093563,2013,"duplicated blot strips, slightly shifted","Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China",5,PhD,Medicine,0.4705882352941176,300,4
165,Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,"INTERNATIONAL JOURNAL OF ONCOLOGY 40: 1779-1788, 2012",10.1128/JCM.43.7.3512-3515.2005,2006,Duplicated microscopy images,"Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America",19,,,4.473684210526316,130,14
166,Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",10.1016/j.lungcan.2011.01.012,2013,Duplicated lanes within different panels - but representing same conditions,"College of Veterinary Medicine, Nanjing Agricultural University, Nanjing, China Key Lab of Animal Bacteriology, Ministry of Agriculture, Nanjing, China.",11,,,3.4705882352941178,300,14
167,Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,Microbiol Immunol 2010; 54: 564Ä567,10.1371/journal.pone.0069583,2013,Duplicated FACS panel,"Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.",0,,Medicine,0.6,39,6
168,Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"Infect. Immun. Feb. 2003, p. 948Ä955 Vol. 71, No. 2",10.1002/ijc.28032,2010,Duplicated actin blot,"Breast Disease Center, Southwest Hospital, Third Military Medical University, Chongqing, P.R. China.",13,,,1.8571428571428568,137,10
169,Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"BioMed Research International, Volume 2014, Article ID 164391",10.1128/IAI.00805-10,2014,two sets of duplicated facs panels but different percentages gated points,"University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",21,,,1.0,5,10
170,"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo","BioMed Research International, Volume 2014, Article ID 272101",10.1126/science.1156725,2014,Multiple cases of duplicated blot panels,"Division of Endocrinology and Metabolism, Department of Internal Medicine, Hyogo College of Medicine, Mukogawa-cho 1-1, Nishinomiya, Hyogo, 663-8501, Japan.",15,,,4.814814814814816,7,4
171,Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,"Oncogene (2013) 32, 1691Ä1701",10.1371/journal.pone.0096343,2008,reuse of 2 bands multiple times to create blot panel,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",23,,Political Science,6.909090909090909,300,4
172,Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,"J. Clin. Microbiol. 2006, 44(3):772",10.1016/j.cyto.2011.06.005,2013,,"Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China",25,,,50.0,300,10
173,Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1016/j.cyto.2012.05.021,2014,"duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped","Department of Clinical and Experimental Medicine, General Pathology and Immunology Section, University of Perugia, Perugia, Italy. erosati@unipg.it",19,,,0.8181818181818182,15,9
174,cDNA cloning and functional analysis of goose interleukin-2,"Infect. Immun. 2013, 81(12):4509",10.1016/j.jaut.2006.05.001,2010,"very similar negative microscopy images, very similar cell grouping in other image","Department of Oral and Maxillofacial Pathology, College of Dentistry, Wonkwang University, Iksan, Republic of Korea.",7,PhD,,0.5714285714285714,24,27
175,The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1016/j.cyto.2004.11.009,2012,Overlapping microscopy images,"Department of Nutrition, I-Shou University, Jiaosu Village, Yanchao District, Kaohsiung 82445, Taiwan.",19,Ph.D.,,0.42857142857142855,300,14
176,Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,"Breast Cancer Research 2012, 14:R127",10.1371/journal.pone.0053510,2006,Duplicated 0h microscopy images,None,9,PhD,Biology,1.7,56,8
177,Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"Infect. Immun. 2012, 80(8):2920",10.1038/onc.2014.404,2005,"Duplicated compressed blots, overlapping microscopy","Department of Nephrology, The First Affiliated Hospital, Sun Yat-sen University, Guangzhou 510080, Guangdong, PR China.",19,PhD in Molecular Biophysics,,1.5384615384615383,4,10
178,Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2005,"Duplicated blot, lanes within blot","Department of Genetics, Cancer Research United Kingdom Cell Cycle Genetics Research Group,  University of Cambridge, Cambridge CB2 3EH,  United Kingdom.",21,,,0.5714285714285714,300,10
179,RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Cytokine 49 (2010) 312Ä318,10.1016/j.jaut.2008.12.003,2011,"Duplicated actin blot panel but different experiments, cuts in panels","Experimental and Clinical Research Center (ECRC), Charité-Universitätsmedizin Berlin, Max Delbrück Center (MDC) for Molecular Medicine in the Helmholtz Association, Berlin, Germany.",5,PhD,,1.5714285714285714,42,4
180,Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1016/j.jaut.2008.12.003,2006,"multiple cases of shifted blots, duplicated bands within blots","Academic Unit of Clinical Oncology, University of Sheffield, Medical School, Beech Hill Road, Sheffield, S10 2RX, UK.",0,PhD,,0.3076923076923077,8,19
181,Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Cytokine 46 (2009) 72Ä78,10.1128/IAI.00013-12,2013,Overlapping microscopy images,"Department of Microbiology and Molecular Genetics, University of Pittsburghgrid.21925.3d School of Medicine, Pittsburgh, Pennsylvania, USA.",11,,Medicine,1.8571428571428568,30,17
182,"Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1073/pnas.1319190110,2012,duplicated blot panel,"Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.",11,Phd,,3.333333333333333,7,23
183,An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,Cytokine 44 (2008) 33Ä43,10.1016/j.cyto.2013.04.005,1999,Duplicated / mirrored bands in blot,"Department of Biochemistry and Molecular Biophysics, Biochemistry and Molecular and Cellular Biology Graduate Program, University of Arizona, Tucson, AZ, USA.",17,,,24.88888888888889,76,10
184,Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pgen.1004480,2012,gel panel appears to have patches,"Department of Cancer and Thoracic Surgery, Graduate School of Medicine, Dentistry and Pharmaceutical Sciences, Okayama University, 2-5-1 Shikata-cho, Kita-ku, Okayama 700-8558, Japan.",0,,,1.2727272727272727,7,4
185,Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE),"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0063581,2011,Overlapping microscopy images,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China",0,,,0.8,154,10
186,"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","Int. J. Cancer: 132, 1940Ä1953 (2013)",10.1371/journal.pone.0053510,2013,Duplicated lanes within same blot,"Laboratory of Virology and Immunology, Institute of Preventive Veterinary Medicine, College of Animal Sciences, Zhejiang University, 268 Kaixuan Road, Hangzhou, Zhejiang Province 310029, PR China. jyzhou@zju.edu.cn",13,Ph.D,,8.444444444444445,2,10
187,Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,"BioMed Research International, Volume 2014, Article ID 272101",10.1186/1471-2180-13-113,2006,Overlapping microscopy images,"Department of Pathology, First Affiliated Hospital and College of Basic Medical Sciences of China Medical University, Shenyang 110001, China.",11,,,1.1111111111111112,20,8
188,The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Journal of Autoimmunity 28 (2007) 99-113,10.1128/IAI.73.3.1754-1763.2005,2012,"duplicated blot strips, slightly shifted","Stem Cell and Tissue Engineering Department, Research Center for Science and Technology in Medicine (RCSTiM), Tehran University of Medical Sciences, Tehran, Iran.",9,PhD in Molecular Biophysics,,2.0,300,12
189,"Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1128/IAI.06230-11,2014,two sets of duplicated facs panels but different percentages gated points,"Department of Veterinary Medicine, School of Veterinary Medicine, National Taiwan University, Taipei, Taiwan, R.O.C.",15,Assist. Prof. Dr.,,4.125,9,9
190,Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"Oncogene (2014), 1Ä13",10.1371/journal.ppat.1003576,2013,"Duplicated blot, stretched","Department of Immunology, Medical College of Chinese People's Armed Police Forces, Tianjin, People's Republic of China. wy68wy68@yahoo.com.cn",51,MD,Computer Science,1.0,3,7
191,Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1073/pnas.1108537109,2012,Overlapping microscopy images,"Department of Microbiology and Immunology, Nihon University School of Dentistry at Matsudo, 2-870-1 Sakaecho-Nishi, Matsudo, Chiba 271-8587, Japan.",17,,,7.0,182,16
192,The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1111/j.1462-2920.2012.02788.x,2012,duplicated western blot panels,"Department of Veterinary Medicine, School of Veterinary Medicine, National Taiwan University, Taipei, Taiwan, R.O.C.",13,,,0.625,27,8
193,Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Cytokine 26 (2004) 1-8,10.1186/1471-2180-13-113,2013,"Duplicated mirrored band, stamping in background",None,11,,Psychology,1.7857142857142858,127,13
194,Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.3892/ijo.2013.1761,2013,Duplicated set of images - most likely an error,"CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France",19,,,1.1111111111111112,26,10
195,Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,"J. Clin. Microbiol. 2006, 44(3):772",10.1128/JCM.42.3.1082-1088.2004,2014,Duplicated blot panel within other panel,"Department of Internal Medicine, Faculty of Medicine, Saga University, 5-1-1 Nabeshima, Saga 849-8501, Japan.",9,PhD,Biology,2.1818181818181817,13,13
196,High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Cytokine 30 (2005) 328-338,10.1016/j.ccr.2012.10.003,2010,"Duplicated gel, differently cut","Osteoncology Center, IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.), I-47014 Meldola (FC), Italy. t.ibrahim@irst.emr.it",11,,Medicine,1.0769230769230769,20,4
197,Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ÃÃsix-mixÅÅ amphiboles and subsequent activation of BEAS-2B cells,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1016/j.jaut.2006.05.001,2009,two similar looking western blot strips,"Department of Microbiology, Oregon State University, Corvallis, Oregon 9731, USA.",0,,,0.625,49,9
198,Stac3 Inhibits Myoblast Differentiation into Myotubes,"Lung Cancer (2006) 53, 273Å284",10.1128/JCM.00001-09,2013,Overlapping microscopy images,"Department of Oral and Maxillofacial Surgery, Hyogo College of Medicine, Nishinomiya, Hyogo 663-8501, Japan.",7,,Biology,100.0,130,27
199,JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867Ä3879",10.1128/mBio.00252-13,2005,"Shifted blots, representing different proteins","Department of Biologic and Materials Sciences, University of Michigan School of Dentistry, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",9,,Biology,2.875,300,8
200,Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes,Lung Cancer 34 (2001) 99Ä104,10.1111/j.1348-0421.2005.tb03723.x,2011,"Shifted blots, representing different proteins",None,21,MD,,1.2727272727272727,4,12
201,Up-regulation of focal adhesion kinase in non-small cell lung cancer,Cytokine 46 (2009) 96Ä99,10.1016/j.cyto.2009.07.004,2012,duplicated microscopy panel,"National Centre for Marine Conservation & Resource Sustainability, University of Tasmania, Tasmania, Australia. rvangeld@utas.edu.au",7,PhD,Engineering,1.5789473684210529,6,18
202,Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"J. Clin. Microbiol. 2006, 44(3):772",PMID: 8675338,2009,"repetitive bands, and background in gel panel","Division of Endocrinology and Metabolism, Department of Internal Medicine, Hyogo College of Medicine, Mukogawa-cho 1-1, Nishinomiya, Hyogo, 663-8501, Japan.",11,Doctor of Philosophy,,5.5625,13,16
203,Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",10.1111/j.1348-0421.2004.tb03525.x,2014,Duplicated FACS panels,"Department of Biologic and Materials Sciences, University of Michigan School of Dentistry, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",13,Doctor of Philosophy,,1.7407407407407407,10,8
204,Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"J. Clin. Microbiol. 1998, 36(6):1666-1673",10.1016/j.cyto.2005.12.007,2013,Rotated western blot,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02115, USA.",3,,,1.5714285714285714,23,18
205,Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,Cytokine 46 (2009) 96Ä99,10.1016/j.lungcan.2011.10.002,2003,,"Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",19,,,2.875,16,7
206,Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,"Infect. Immun. Mar. 2005, p. 1386Ä1398 Vol. 73, No. 3",10.1128/JCM.42.2.665-669.2004,2012,"Duplicated blot panel, stretched","Department of Experimental and Clinical Medicine, Università Politecnica delle Marche, Via Tronto 10/a, Ancona, 60020, Italy.",17,BSc in Pharmacy,,1.2,300,9
207,Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906",10.1128/IAI.06230-11,2014,Duplicated blot,"Department of Comparative Physiology, Uppsala University, Uppsala, Sweden",17,,Political Science,1.3,14,7
208,Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1126/science.1156725,2014,multiple duplicated microscopy images,"Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",9,,,1.7,37,6
209,Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"Oncogene (2014), 1Ä13",10.1128/IAI.01192-08,2013,"Duplicated lanes within blots, many many case","Department of Pharmacology, National Medicines Institute, Warsaw, Poland",9,,,8.571428571428571,4,19
210,Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,"Cancer Cell 26, 754Ä769, November 10, 2014",10.1371/journal.pone.0087003,2008,"Reused lanes, possibly duplicated lanes","Department of Biologic and Materials Sciences, University of Michigan School of Dentistry, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",0,Ph.D. Microbiology,,2.142857142857143,7,19
211,Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"Breast Cancer Research 2012, 14:R86",10.1371/journal.ppat.1003981,2011,"Identical microscopy panels, might be error","1] State Key Laboratory of Plant Genomics and National Center for Plant Gene Research (Beijing), Institute of Genetics and Developmental Biology, Chinese Academy of Sciences, Beijing 100101, China [2].",15,MD,,1.7407407407407407,78,15
212,Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1186/bcr3200,2012,Mirrored blot,"Program in Vector-Borne Diseases, Department of Veterinary Microbiology and Pathology, Paul G. Allen School for Global Animal Health, Washington State University, Pullman, Washington, USA.",6,,,1.2222222222222223,36,3
213,Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 611-620, 2012",10.1016/j.lungcan.2006.06.006,2009,"Duplicated gel, differently cut","Department of Surgery, Faculty of Medicine, School of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan ; Department of Neurosurgery, Kaohsiung Medical University Hospital, No. 100, Tzyou 1st Road, Kaohsiung 80752, Taiwan ; Department of Surgery, Kaohsiung Municipal Ta Tung Hospital, Kaohsiung, Taiwan.",23,,,10.0,46,12
